model,task,field,label,support,predicted_support,f1,accuracy,mcc,precision,recall
claude-opus-5,dicocco_manifesto_populism,populist,0,87,92,0.949720670391,0.91,0.543640078935,0.923913043478,0.977011494253
claude-opus-5,dicocco_manifesto_populism,populist,1,13,8,0.571428571429,0.91,0.543640078935,0.75,0.461538461538
claude-opus-5,douglass_icbe_sentence_event_type,event_type,No Event,32,18,0.44,0.72,0.29238740627,0.611111111111,0.34375
claude-opus-5,douglass_icbe_sentence_event_type,event_type,Action,25,34,0.508474576271,0.71,0.316884717122,0.441176470588,0.6
claude-opus-5,douglass_icbe_sentence_event_type,event_type,Speech,21,17,0.631578947368,0.86,0.55098639422,0.705882352941,0.571428571429
claude-opus-5,douglass_icbe_sentence_event_type,event_type,Thought,9,2,0,0.89,-0.0449264930024,0,0
claude-opus-5,douglass_icbe_sentence_event_type,event_type,Mixed,13,29,0.428571428571,0.76,0.342722181151,0.310344827586,0.692307692308
claude-opus-5,erlich_ati_topics,Activities,0,66,52,0.71186440678,0.66,0.324509565726,0.807692307692,0.636363636364
claude-opus-5,erlich_ati_topics,Activities,1,34,48,0.585365853659,0.66,0.324509565726,0.5,0.705882352941
claude-opus-5,erlich_ati_topics,Budget,0,86,74,0.9,0.84,0.549275844059,0.972972972973,0.837209302326
claude-opus-5,erlich_ati_topics,Budget,1,14,26,0.6,0.84,0.549275844059,0.461538461538,0.857142857143
claude-opus-5,erlich_ati_topics,Evaluation,0,71,85,0.846153846154,0.76,0.348710626493,0.776470588235,0.929577464789
claude-opus-5,erlich_ati_topics,Evaluation,1,29,15,0.454545454545,0.76,0.348710626493,0.666666666667,0.344827586207
claude-opus-5,erlich_ati_topics,External Contracts,0,80,79,0.943396226415,0.91,0.724267208807,0.949367088608,0.9375
claude-opus-5,erlich_ati_topics,External Contracts,1,20,21,0.780487804878,0.91,0.724267208807,0.761904761905,0.8
claude-opus-5,erlich_ati_topics,Institutional Structure,0,76,80,0.910256410256,0.86,0.597073454883,0.8875,0.934210526316
claude-opus-5,erlich_ati_topics,Institutional Structure,1,24,20,0.681818181818,0.86,0.597073454883,0.75,0.625
claude-opus-5,erlich_ati_topics,Other,0,99,78,0.881355932203,0.79,0.189242363588,1,0.787878787879
claude-opus-5,erlich_ati_topics,Other,1,1,22,0.0869565217391,0.79,0.189242363588,0.0454545454545,1
claude-opus-5,erlich_ati_topics,Regulatory,0,89,80,0.923076923077,0.87,0.543322356286,0.975,0.876404494382
claude-opus-5,erlich_ati_topics,Regulatory,1,11,20,0.58064516129,0.87,0.543322356286,0.45,0.818181818182
claude-opus-5,gilardi_relevance,relevant,0,48,43,0.923076923077,0.93,0.863589398436,0.976744186047,0.875
claude-opus-5,gilardi_relevance,relevant,1,52,57,0.935779816514,0.93,0.863589398436,0.894736842105,0.980769230769
claude-opus-5,gilardi_stance,stance,pro,5,15,0.4,0.88,0.417620168032,0.266666666667,0.8
claude-opus-5,gilardi_stance,stance,neutral,54,36,0.622222222222,0.66,0.357813507783,0.777777777778,0.518518518519
claude-opus-5,gilardi_stance,stance,contra,41,49,0.755555555556,0.78,0.565751960706,0.69387755102,0.829268292683
claude-opus-5,halterman_keith_bfrs,event_type,ASSASSINATION,31,22,0.716981132075,0.85,0.635745440662,0.863636363636,0.612903225806
claude-opus-5,halterman_keith_bfrs,event_type,DRONE_ASSASSINATION,0,0,0,1,,,
claude-opus-5,halterman_keith_bfrs,event_type,ATTACK_ON_STATE,4,4,1,1,1,1,1
claude-opus-5,halterman_keith_bfrs,event_type,CONVENTIONAL_ATTACK_ON_GOV_FORCES,7,9,0.75,0.96,0.735430844494,0.666666666667,0.857142857143
claude-opus-5,halterman_keith_bfrs,event_type,GUERILLA_ATTACK_ON_GOV_FORCES,3,2,0.4,0.97,0.393598399182,0.5,0.333333333333
claude-opus-5,halterman_keith_bfrs,event_type,GOV_ATTACK_ON_NONSTATE_COMBATANTS,5,5,1,1,1,1,1
claude-opus-5,halterman_keith_bfrs,event_type,GOV_ATTACK_ON_CIVILIANS,3,2,0.8,0.99,0.81232010044,1,0.666666666667
claude-opus-5,halterman_keith_bfrs,event_type,RIOT,14,17,0.903225806452,0.97,0.891516484192,0.823529411765,1
claude-opus-5,halterman_keith_bfrs,event_type,TERRORISM,14,12,0.769230769231,0.94,0.737867061375,0.833333333333,0.714285714286
claude-opus-5,halterman_keith_bfrs,event_type,THREAT_OF_VIOLENCE,0,0,0,1,,,
claude-opus-5,halterman_keith_bfrs,event_type,VIOLENT_POLITICAL_DEMONSTRATION,12,13,0.96,0.99,0.955294411471,0.923076923077,1
claude-opus-5,halterman_keith_bfrs,event_type,OTHER,7,14,0.0952380952381,0.81,0.00225905215643,0.0714285714286,0.142857142857
claude-opus-5,halterman_keith_cmp,policy_domain,External Relations,10,10,1,1,1,1,1
claude-opus-5,halterman_keith_cmp,policy_domain,Freedom and Democracy,4,1,0.4,0.97,0.492365963917,1,0.25
claude-opus-5,halterman_keith_cmp,policy_domain,Political System,13,13,0.461538461538,0.86,0.381078691424,0.461538461538,0.461538461538
claude-opus-5,halterman_keith_cmp,policy_domain,Economy,17,20,0.594594594595,0.85,0.505813124662,0.55,0.647058823529
claude-opus-5,halterman_keith_cmp,policy_domain,Welfare and Quality of Life,42,44,0.837209302326,0.86,0.715113716238,0.818181818182,0.857142857143
claude-opus-5,halterman_keith_cmp,policy_domain,Fabric of Society,9,8,0.705882352941,0.95,0.680069134509,0.75,0.666666666667
claude-opus-5,halterman_keith_cmp,policy_domain,Social Groups,5,4,0.222222222222,0.93,0.187317162316,0.25,0.2
claude-opus-5,haunss_papea_claims,protest_claim,Anti-Far-Right,6,6,0.666666666667,0.96,0.645390070922,0.666666666667,0.666666666667
claude-opus-5,haunss_papea_claims,protest_claim,Anticapitalist,1,1,1,1,1,1,1
claude-opus-5,haunss_papea_claims,protest_claim,Church,1,1,1,1,1,1,1
claude-opus-5,haunss_papea_claims,protest_claim,COVID,1,2,0.666666666667,0.99,0.703526470681,0.5,1
claude-opus-5,haunss_papea_claims,protest_claim,Democracy,3,3,0.666666666667,0.98,0.656357388316,0.666666666667,0.666666666667
claude-opus-5,haunss_papea_claims,protest_claim,Economy,1,3,0.5,0.98,0.571488693326,0.333333333333,1
claude-opus-5,haunss_papea_claims,protest_claim,Education,6,5,0.909090909091,0.99,0.908053634709,1,0.833333333333
claude-opus-5,haunss_papea_claims,protest_claim,Environment,3,3,1,1,1,1,1
claude-opus-5,haunss_papea_claims,protest_claim,Far Right,3,8,0.545454545455,0.95,0.596380837295,0.375,1
claude-opus-5,haunss_papea_claims,protest_claim,Foreign Rights,2,0,0,0.98,,,0
claude-opus-5,haunss_papea_claims,protest_claim,Gender,1,2,0.666666666667,0.99,0.703526470681,0.5,1
claude-opus-5,haunss_papea_claims,protest_claim,Infrastructure,13,10,0.695652173913,0.93,0.664082820686,0.8,0.615384615385
claude-opus-5,haunss_papea_claims,protest_claim,International,3,1,0,0.96,-0.017674908041,0,0
claude-opus-5,haunss_papea_claims,protest_claim,Labour,24,23,0.936170212766,0.97,0.91692858039,0.95652173913,0.916666666667
claude-opus-5,haunss_papea_claims,protest_claim,Media,0,2,0,0.98,,0,
claude-opus-5,haunss_papea_claims,protest_claim,Migration,18,5,0.434782608696,0.87,0.489659148665,1,0.277777777778
claude-opus-5,haunss_papea_claims,protest_claim,Nuclear Power,1,1,1,1,1,1,1
claude-opus-5,haunss_papea_claims,protest_claim,Other,0,3,0,0.97,,0,
claude-opus-5,haunss_papea_claims,protest_claim,Peace,6,7,0.923076923077,0.99,0.920882357367,0.857142857143,1
claude-opus-5,haunss_papea_claims,protest_claim,Peasants,1,1,1,1,1,1,1
claude-opus-5,haunss_papea_claims,protest_claim,Political System,3,1,0.5,0.98,0.571488693326,1,0.333333333333
claude-opus-5,haunss_papea_claims,protest_claim,Repression,0,1,0,0.99,,0,
claude-opus-5,haunss_papea_claims,protest_claim,Religion,0,1,0,0.99,,0,
claude-opus-5,haunss_papea_claims,protest_claim,Rights,2,0,0,0.98,,,0
claude-opus-5,haunss_papea_claims,protest_claim,Social,1,3,0.5,0.98,0.571488693326,0.333333333333,1
claude-opus-5,haunss_papea_claims,protest_claim,Solidarity,0,0,0,1,,,
claude-opus-5,haunss_papea_claims,protest_claim,Tolerance,0,4,0,0.96,,0,
claude-opus-5,haunss_papea_claims,protest_claim,Unclear,0,3,0,0.97,,0,
claude-opus-5,haunss_papea_fgz_forms,protest_form,Demonstration / Assembly,58,55,0.973451327434,0.97,0.940774931248,1,0.948275862069
claude-opus-5,haunss_papea_fgz_forms,protest_form,Petition,10,10,1,1,1,1,1
claude-opus-5,haunss_papea_fgz_forms,protest_form,Strike,4,4,0.75,0.98,0.739583333333,0.75,0.75
claude-opus-5,haunss_papea_fgz_forms,protest_form,Non-verbal Protest / Cultural Event,10,13,0.869565217391,0.97,0.862316498503,0.769230769231,1
claude-opus-5,haunss_papea_fgz_forms,protest_form,Leaflet / Resolution / Open Letter,9,9,1,1,1,1,1
claude-opus-5,haunss_papea_fgz_forms,protest_form,Attack with Damage to Property,5,5,1,1,1,1,1
claude-opus-5,haunss_papea_fgz_forms,protest_form,Blockade / Sit-in,4,4,1,1,1,1,1
claude-opus-5,mellon_bes_mii_2024,issue,Referendum unspecified,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,Coronavirus,30,30,1,1,1,1,1
claude-opus-5,mellon_bes_mii_2024,issue,COVID-economy,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,BLM and responses,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,health,2,2,1,1,1,1,1
claude-opus-5,mellon_bes_mii_2024,issue,education,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,election outcome,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,pol-neg,5,3,0.5,0.96,0.497597774256,0.666666666667,0.4
claude-opus-5,mellon_bes_mii_2024,issue,partisan-neg,3,3,0.666666666667,0.98,0.656357388316,0.666666666667,0.666666666667
claude-opus-5,mellon_bes_mii_2024,issue,societal divides,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,morals,0,2,0,0.98,,0,
claude-opus-5,mellon_bes_mii_2024,issue,"nat ident, goals-loss",0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,racism/discrimination,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,welfare,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,terrorism,1,1,1,1,1,1,1
claude-opus-5,mellon_bes_mii_2024,issue,immigration,8,8,1,1,1,1,1
claude-opus-5,mellon_bes_mii_2024,issue,asylum,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,crime,1,1,1,1,1,1,1
claude-opus-5,mellon_bes_mii_2024,issue,europe,6,4,0.8,0.98,0.807946642903,1,0.666666666667
claude-opus-5,mellon_bes_mii_2024,issue,constitutional,0,1,0,0.99,,0,
claude-opus-5,mellon_bes_mii_2024,issue,international trade,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,devolution,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,scot-ind,1,0,0,0.99,,,0
claude-opus-5,mellon_bes_mii_2024,issue,constitution,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,foreign affairs,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,war,2,2,1,1,1,1,1
claude-opus-5,mellon_bes_mii_2024,issue,defence,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,foreign emergency,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,domestic emergency,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,economy-general,8,10,0.888888888889,0.98,0.884651736929,0.8,1
claude-opus-5,mellon_bes_mii_2024,issue,economy-personal,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,unemployment,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,taxation,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,debt/deficit,1,1,1,1,1,1,1
claude-opus-5,mellon_bes_mii_2024,issue,inflation,3,3,1,1,1,1,1
claude-opus-5,mellon_bes_mii_2024,issue,living costs,16,15,0.967741935484,0.99,0.96253342188,1,0.9375
claude-opus-5,mellon_bes_mii_2024,issue,poverty,3,4,0.857142857143,0.99,0.861549790341,0.75,1
claude-opus-5,mellon_bes_mii_2024,issue,austerity,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,inequality,3,3,1,1,1,1,1
claude-opus-5,mellon_bes_mii_2024,issue,housing,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,social care,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,pensions/ageing,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,transport/infrastructure,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,environment,6,6,1,1,1,1,1
claude-opus-5,mellon_bes_mii_2024,issue,pol value-auth,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,pol values-liberal,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,pol values-right,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,pol values-left,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,other,0,0,0,1,,,
claude-opus-5,mellon_bes_mii_2024,issue,uncoded,1,1,0,0.98,-0.010101010101,0,0
claude-opus-5,muller_fujimura_campaign_policy_area,policy_area,"Agriculture, Forestry, and Fisheries",3,3,1,1,1,1,1
claude-opus-5,muller_fujimura_campaign_policy_area,policy_area,Committees on Cabinet,9,4,0.461538461538,0.93,0.470756541762,0.75,0.333333333333
claude-opus-5,muller_fujimura_campaign_policy_area,policy_area,"Economy, Trade and Industry",2,10,0.333333333333,0.92,0.428571428571,0.2,1
claude-opus-5,muller_fujimura_campaign_policy_area,policy_area,"Education, Culture, Sports, Science, and Technology",8,7,0.8,0.97,0.785903998274,0.857142857143,0.75
claude-opus-5,muller_fujimura_campaign_policy_area,policy_area,Environment,0,0,0,1,,,
claude-opus-5,muller_fujimura_campaign_policy_area,policy_area,Financial Affairs,6,1,0.285714285714,0.95,0.397805427627,1,0.166666666667
claude-opus-5,muller_fujimura_campaign_policy_area,policy_area,Foreign Affairs,7,9,0.875,0.98,0.872382584624,0.777777777778,1
claude-opus-5,muller_fujimura_campaign_policy_area,policy_area,"Health, Labour, and Welfare",14,14,0.928571428571,0.98,0.916943521595,0.928571428571,0.928571428571
claude-opus-5,muller_fujimura_campaign_policy_area,policy_area,Internal Affairs and Communications,2,4,0.666666666667,0.98,0.699854212224,0.5,1
claude-opus-5,muller_fujimura_campaign_policy_area,policy_area,"Land, Infrastructure, Transport, and Tourism",9,12,0.857142857143,0.97,0.851630627253,0.75,1
claude-opus-5,muller_fujimura_campaign_policy_area,policy_area,No Policy Area,38,34,0.888888888889,0.92,0.829811216802,0.941176470588,0.842105263158
claude-opus-5,muller_fujimura_campaign_policy_area,policy_area,Security,2,2,1,1,1,1,1
claude-opus-5,ornstein_scotus_sentiment,sentiment,Positive,21,16,0.486486486486,0.81,0.377708081025,0.5625,0.428571428571
claude-opus-5,ornstein_scotus_sentiment,sentiment,Negative,67,39,0.679245283019,0.66,0.430353718989,0.923076923077,0.537313432836
claude-opus-5,ornstein_scotus_sentiment,sentiment,Neutral,12,45,0.421052631579,0.67,0.408248290464,0.266666666667,1
claude-opus-5,osnabruegge_cross_domain_topic,policy_domain,External Relations,5,4,0.888888888889,0.99,0.889756521003,1,0.8
claude-opus-5,osnabruegge_cross_domain_topic,policy_domain,Freedom and Democracy,17,3,0.3,0.86,0.388587964852,1,0.176470588235
claude-opus-5,osnabruegge_cross_domain_topic,policy_domain,Political System,21,18,0.564102564103,0.83,0.461392813502,0.611111111111,0.52380952381
claude-opus-5,osnabruegge_cross_domain_topic,policy_domain,Economy,21,29,0.72,0.86,0.644407216306,0.620689655172,0.857142857143
claude-opus-5,osnabruegge_cross_domain_topic,policy_domain,Welfare and Quality of Life,18,20,0.789473684211,0.92,0.741825368971,0.75,0.833333333333
claude-opus-5,osnabruegge_cross_domain_topic,policy_domain,Fabric of Society,7,3,0.6,0.96,0.641013556776,1,0.428571428571
claude-opus-5,osnabruegge_cross_domain_topic,policy_domain,Social Groups,9,4,0.153846153846,0.89,0.114122798003,0.25,0.111111111111
claude-opus-5,osnabruegge_cross_domain_topic,policy_domain,No Topic,2,19,0.0952380952381,0.81,0.112887107143,0.0526315789474,0.5
claude-opus-5,plover_cameo_event,event_type,AGREE,11,6,0.470588235294,0.91,0.449485378467,0.666666666667,0.363636363636
claude-opus-5,plover_cameo_event,event_type,AID,4,6,0.8,0.98,0.807946642903,0.666666666667,1
claude-opus-5,plover_cameo_event,event_type,ASSAULT,6,10,0.75,0.96,0.75793672896,0.6,1
claude-opus-5,plover_cameo_event,event_type,COERCE,3,4,0.285714285714,0.95,0.263251324827,0.25,0.333333333333
claude-opus-5,plover_cameo_event,event_type,CONCEDE,4,7,0.545454545455,0.95,0.544017408836,0.428571428571,0.75
claude-opus-5,plover_cameo_event,event_type,CONSULT,4,6,0.8,0.98,0.807946642903,0.666666666667,1
claude-opus-5,plover_cameo_event,event_type,COOPERATE,2,2,0.5,0.98,0.489795918367,0.5,0.5
claude-opus-5,plover_cameo_event,event_type,DEMAND,15,14,0.896551724138,0.97,0.879747744564,0.928571428571,0.866666666667
claude-opus-5,plover_cameo_event,event_type,DISAPPROVE,4,3,0.857142857143,0.99,0.861549790341,1,0.75
claude-opus-5,plover_cameo_event,event_type,FIGHT,2,0,0,0.98,,,0
claude-opus-5,plover_cameo_event,event_type,INVESTIGATE,4,5,0.888888888889,0.99,0.889756521003,0.8,1
claude-opus-5,plover_cameo_event,event_type,MOBILIZE,3,3,1,1,1,1,1
claude-opus-5,plover_cameo_event,event_type,PROTEST,12,9,0.857142857143,0.97,0.851630627253,1,0.75
claude-opus-5,plover_cameo_event,event_type,REJECT,11,11,1,1,1,1,1
claude-opus-5,plover_cameo_event,event_type,RETREAT,4,3,0.285714285714,0.95,0.263251324827,0.333333333333,0.25
claude-opus-5,plover_cameo_event,event_type,SANCTION,0,3,0,0.97,,0,
claude-opus-5,plover_cameo_event,event_type,SUPPORT,3,2,0.4,0.97,0.393598399182,0.5,0.333333333333
claude-opus-5,plover_cameo_event,event_type,THREATEN,8,6,0.857142857143,0.98,0.856762833689,1,0.75
claude-opus-5,politicause_causal_relation,causal_relation,0,68,31,0.626262626263,0.63,0.45980832954,1,0.455882352941
claude-opus-5,politicause_causal_relation,causal_relation,1,32,69,0.633663366337,0.63,0.45980832954,0.463768115942,1
claude-opus-5,rheault_line_of_fire_incivility,uncivil,0,87,74,0.906832298137,0.85,0.584350512823,0.986486486486,0.83908045977
claude-opus-5,rheault_line_of_fire_incivility,uncivil,1,13,26,0.615384615385,0.85,0.584350512823,0.461538461538,0.923076923077
